,Date,PlayerID,Duration,RPE,SessionLoad,DailyLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself,AcuteLoad,ChronicLoad,SessionType_Combat,SessionType_Conditioning,SessionType_Game,SessionType_Mobility/Recovery,SessionType_Skills,SessionType_Speed,SessionType_Strength
1725,2017-10-05,16,85.0,1.0,85.0,865.0,0.88,8.0,7.0,2.0,352.86,400.33,0,0,0,0,1,0,0
1726,2017-10-05,16,60.0,4.0,240.0,865.0,0.88,8.0,7.0,2.0,352.86,400.33,0,1,0,0,0,0,0
1727,2017-10-05,14,60.0,4.0,240.0,660.0,1.28,9.0,8.0,2.0,516.43,402.67,0,0,0,0,0,0,1
1728,2017-10-05,14,90.0,4.0,360.0,660.0,1.28,9.0,8.0,2.0,516.43,402.67,0,0,0,0,1,0,0
1729,2017-10-05,14,30.0,2.0,60.0,660.0,1.28,9.0,8.0,2.0,516.43,402.67,0,0,0,0,0,1,0
1730,2017-10-05,13,30.0,0.0,0.0,750.0,1.35,8.0,9.0,2.0,663.57,490.67,0,0,0,1,0,0,0
1731,2017-10-05,17,90.0,3.0,270.0,585.0,1.87,7.0,9.0,2.0,295.0,158.0,0,0,0,0,1,0,0
1732,2017-10-05,13,90.0,5.0,450.0,750.0,1.35,8.0,9.0,2.0,663.57,490.67,0,0,0,0,1,0,0
1733,2017-10-05,13,40.0,0.0,0.0,750.0,1.35,8.0,9.0,2.0,663.57,490.67,0,0,0,0,0,1,0
1734,2017-10-05,12,60.0,4.0,240.0,330.0,1.38,7.0,7.0,2.0,331.43,240.17,0,0,0,0,0,0,1
1735,2017-10-05,12,30.0,3.0,90.0,330.0,1.38,7.0,7.0,2.0,331.43,240.17,0,0,0,0,0,1,0
1736,2017-10-05,11,75.0,3.0,225.0,1385.0,1.19,10.0,10.0,2.0,686.57,575.83,0,0,0,1,0,0,0
1737,2017-10-05,11,100.0,6.0,600.0,1385.0,1.19,10.0,10.0,2.0,686.57,575.83,0,0,0,0,0,0,1
1738,2017-10-05,11,60.0,2.0,120.0,1385.0,1.19,10.0,10.0,2.0,686.57,575.83,0,0,0,0,1,0,0
1739,2017-10-05,11,20.0,7.0,140.0,1385.0,1.19,10.0,10.0,2.0,686.57,575.83,0,1,0,0,0,0,0
1740,2017-10-05,11,60.0,5.0,300.0,1385.0,1.19,10.0,10.0,2.0,686.57,575.83,0,0,0,0,0,1,0
1741,2017-10-05,10,60.0,3.0,180.0,630.0,1.41,10.0,10.0,2.0,418.57,297.33,0,0,0,0,0,0,1
1742,2017-10-05,13,60.0,5.0,300.0,750.0,1.35,8.0,9.0,2.0,663.57,490.67,0,0,0,0,0,0,1
1743,2017-10-06,6,90.0,8.0,720.0,1690.0,1.42,7.0,9.0,2.0,684.29,481.17,0,0,0,0,1,0,0
1744,2017-10-06,6,110.0,7.0,770.0,1690.0,1.42,7.0,9.0,2.0,684.29,481.17,0,0,0,0,0,0,1
1745,2017-10-06,7,35.0,7.0,245.0,1595.0,1.29,8.0,9.0,0.0,642.86,498.0,0,0,0,0,0,1,0
1746,2017-10-06,8,90.0,1.0,90.0,970.0,1.17,8.0,9.0,2.0,561.43,481.67,0,0,0,0,1,0,0
1747,2017-10-06,7,90.0,6.0,540.0,1595.0,1.29,8.0,9.0,2.0,642.86,498.0,0,0,0,0,0,0,1
1748,2017-10-06,8,50.0,5.0,250.0,970.0,1.17,9.0,0.0,2.0,561.43,481.67,0,0,0,0,0,1,0
1749,2017-10-06,6,40.0,5.0,200.0,1690.0,1.42,7.0,9.0,2.0,684.29,481.17,0,0,0,0,0,1,0
1750,2017-10-06,7,90.0,9.0,810.0,1595.0,1.29,8.0,9.0,2.0,642.86,498.0,0,1,0,0,0,0,0
1751,2017-10-06,4,105.0,5.0,525.0,1065.0,1.19,8.0,8.0,0.0,514.29,433.5,0,0,0,0,0,0,1
1752,2017-10-06,2,60.0,8.0,480.0,1185.0,1.15,8.0,8.0,0.0,602.86,526.33,0,1,0,0,0,0,0
1753,2017-10-06,4,45.0,4.0,180.0,1065.0,1.19,8.0,8.0,2.0,514.29,433.5,0,0,0,0,0,1,0
1754,2017-10-06,3,60.0,5.0,300.0,300.0,1.15,8.0,8.0,2.0,182.14,159.0,0,0,0,0,0,0,1
1755,2017-10-06,2,80.0,6.0,480.0,1185.0,1.15,7.0,9.0,2.0,602.86,526.33,0,0,0,0,0,0,1
1756,2017-10-06,2,45.0,5.0,225.0,1185.0,1.15,9.0,7.0,2.0,602.86,526.33,0,0,0,0,0,1,0
1757,2017-10-06,1,90.0,5.0,450.0,1100.0,1.23,10.0,10.0,2.0,471.43,384.0,0,0,0,0,0,0,1
1758,2017-10-06,1,90.0,5.0,450.0,1100.0,1.23,10.0,10.0,2.0,471.43,384.0,0,0,0,0,1,0,0
1759,2017-10-06,1,50.0,4.0,200.0,1100.0,1.23,10.0,10.0,2.0,471.43,384.0,0,0,0,0,0,1,0
1760,2017-10-06,8,90.0,7.0,630.0,970.0,1.17,9.0,9.0,2.0,561.43,481.67,0,0,0,0,0,0,1
1761,2017-10-06,4,60.0,6.0,360.0,1065.0,1.19,8.0,8.0,2.0,514.29,433.5,0,0,0,0,1,0,0
1762,2017-10-06,9,45.0,4.0,180.0,660.0,0.99,9.0,9.0,2.0,426.43,432.0,0,0,0,0,0,1,0
1763,2017-10-06,13,45.0,5.0,225.0,1395.0,1.18,9.0,9.0,2.0,635.71,537.17,0,0,0,0,0,1,0
1764,2017-10-06,9,60.0,5.0,300.0,660.0,0.99,9.0,9.0,2.0,426.43,432.0,0,0,0,0,0,0,1
1765,2017-10-06,17,60.0,3.0,180.0,600.0,1.71,7.0,9.0,0.0,303.57,178.0,0,0,0,0,0,0,1
1766,2017-10-06,17,70.0,6.0,420.0,600.0,1.71,7.0,9.0,0.0,303.57,178.0,0,1,0,0,0,0,0
1767,2017-10-06,16,30.0,1.0,30.0,920.0,0.89,8.0,8.0,1.0,371.43,419.0,0,0,0,1,0,0,0
1768,2017-10-06,16,75.0,0.0,0.0,920.0,0.89,8.0,8.0,1.0,371.43,419.0,0,0,0,0,1,0,0
1769,2017-10-06,16,50.0,7.0,350.0,920.0,0.89,8.0,8.0,1.0,371.43,419.0,0,1,0,0,0,0,0
1770,2017-10-06,16,90.0,6.0,540.0,920.0,0.89,8.0,8.0,1.0,371.43,419.0,0,0,0,0,0,0,1
1771,2017-10-06,14,90.0,6.0,540.0,1230.0,1.17,7.0,7.0,2.0,520.71,443.67,0,0,0,0,0,0,1
1772,2017-10-06,14,60.0,9.0,540.0,1230.0,1.17,7.0,7.0,2.0,520.71,443.67,0,1,0,0,0,0,0
1773,2017-10-06,9,30.0,6.0,180.0,660.0,0.99,9.0,9.0,2.0,426.43,432.0,0,1,0,0,0,0,0
1774,2017-10-06,13,100.0,6.0,600.0,1395.0,1.18,9.0,9.0,2.0,635.71,537.17,0,0,0,0,0,0,1
1775,2017-10-06,14,30.0,5.0,150.0,1230.0,1.17,7.0,7.0,0.0,520.71,443.67,0,0,0,0,0,1,0
1776,2017-10-06,13,60.0,9.0,540.0,1395.0,1.18,9.0,9.0,2.0,635.71,537.17,0,1,0,0,0,0,0
1777,2017-10-06,11,35.0,3.0,105.0,945.0,1.13,8.0,9.0,2.0,680.57,601.33,0,0,0,1,0,0,0
1778,2017-10-06,11,100.0,8.0,800.0,945.0,1.13,10.0,9.0,2.0,680.57,601.33,0,0,0,0,0,0,1
1779,2017-10-06,11,20.0,2.0,40.0,945.0,1.13,9.0,8.0,2.0,680.57,601.33,0,0,0,0,1,0,0
1780,2017-10-06,10,90.0,5.0,450.0,780.0,1.28,8.0,9.0,2.0,413.57,323.33,0,0,0,0,0,0,1
1781,2017-10-06,10,30.0,8.0,240.0,780.0,1.28,8.0,9.0,2.0,413.57,323.33,0,1,0,0,0,0,0
1782,2017-10-06,10,20.0,0.0,0.0,780.0,1.28,8.0,9.0,2.0,413.57,323.33,0,0,0,0,1,0,0
1783,2017-10-06,10,30.0,3.0,90.0,780.0,1.28,8.0,9.0,2.0,413.57,323.33,0,0,0,0,0,1,0
1784,2017-10-06,13,30.0,1.0,30.0,1395.0,1.18,9.0,9.0,2.0,635.71,537.17,0,0,0,0,1,0,0
1787,2017-10-07,3,30.0,5.0,150.0,150.0,1.45,8.0,8.0,0.0,203.57,140.0,0,1,0,0,0,0,0
1791,2017-10-07,11,25.0,5.0,125.0,285.0,1.25,7.0,8.0,2.0,721.29,574.83,0,1,0,0,0,0,0
1796,2017-10-07,11,40.0,4.0,160.0,285.0,1.25,9.0,9.0,2.0,721.29,574.83,0,0,0,0,0,1,0
1801,2017-10-08,9,30.0,6.0,180.0,360.0,0.93,9.0,9.0,2.0,396.43,424.0,0,1,0,0,0,0,0
1802,2017-10-08,9,60.0,3.0,180.0,360.0,0.93,9.0,9.0,2.0,396.43,424.0,0,0,0,0,1,0,0
1805,2017-10-08,13,20.0,0.0,0.0,0.0,1.34,8.0,9.0,2.0,635.71,475.0,0,0,0,1,0,0,0
1806,2017-10-08,13,90.0,0.0,0.0,0.0,1.34,8.0,6.0,2.0,635.71,475.0,0,0,0,1,0,0,0
1811,2017-10-09,7,45.0,5.0,225.0,1020.0,1.38,8.0,8.0,2.0,659.29,476.5,0,0,0,0,0,1,0
1812,2017-10-09,7,90.0,3.0,270.0,1020.0,1.38,8.0,8.0,2.0,659.29,476.5,0,0,0,0,1,0,0
1813,2017-10-09,7,105.0,5.0,525.0,1020.0,1.38,8.0,8.0,2.0,659.29,476.5,0,0,0,0,0,0,1
1814,2017-10-09,8,55.0,3.0,165.0,1155.0,1.25,5.0,7.0,2.0,570.71,456.17,0,0,0,0,0,1,0
1815,2017-10-09,9,45.0,4.0,180.0,720.0,0.94,9.0,9.0,2.0,413.57,439.0,0,0,0,0,0,1,0
1816,2017-10-09,8,120.0,6.0,720.0,1155.0,1.25,5.0,7.0,2.0,570.71,456.17,0,0,0,0,0,0,1
1817,2017-10-09,9,30.0,3.0,90.0,720.0,0.94,9.0,9.0,2.0,413.57,439.0,0,0,0,0,1,0,0
1818,2017-10-09,6,110.0,6.0,660.0,1050.0,1.4,8.0,7.0,2.0,664.29,475.5,0,0,0,0,0,0,1
1819,2017-10-09,8,90.0,3.0,270.0,1155.0,1.25,5.0,7.0,2.0,570.71,456.17,0,0,0,0,1,0,0
1820,2017-10-09,6,90.0,3.0,270.0,1050.0,1.4,8.0,7.0,1.0,664.29,475.5,0,0,0,0,1,0,0
1821,2017-10-09,1,90.0,3.0,270.0,1110.0,1.31,10.0,10.0,2.0,508.57,389.0,0,0,0,0,1,0,0
1822,2017-10-09,5,60.0,4.0,240.0,390.0,1.95,9.0,9.0,2.0,132.86,68.0,0,0,0,0,0,0,1
1823,2017-10-09,5,30.0,5.0,150.0,390.0,1.95,8.0,7.0,2.0,132.86,68.0,0,0,0,0,0,1,0
1824,2017-10-09,4,90.0,5.0,450.0,855.0,1.24,8.0,8.0,2.0,507.86,408.0,0,0,0,0,0,0,1
1825,2017-10-09,4,90.0,3.0,270.0,855.0,1.24,8.0,8.0,2.0,507.86,408.0,0,0,0,0,1,0,0
1826,2017-10-09,4,45.0,3.0,135.0,855.0,1.24,8.0,8.0,0.0,507.86,408.0,0,0,0,0,0,1,0
1827,2017-10-09,3,90.0,4.0,360.0,585.0,1.8,8.0,8.0,2.0,233.57,129.5,0,0,0,0,1,0,0
1828,2017-10-09,3,45.0,5.0,225.0,585.0,1.8,8.0,8.0,2.0,233.57,129.5,0,0,0,0,0,1,0
1829,2017-10-09,1,120.0,5.0,600.0,1110.0,1.31,10.0,10.0,2.0,508.57,389.0,0,0,0,0,0,0,1
1830,2017-10-09,9,90.0,5.0,450.0,720.0,0.94,9.0,9.0,2.0,413.57,439.0,0,0,0,0,0,0,1
1831,2017-10-09,1,60.0,4.0,240.0,1110.0,1.31,10.0,10.0,2.0,508.57,389.0,0,0,0,0,0,1,0
1832,2017-10-09,6,40.0,3.0,120.0,1050.0,1.4,8.0,7.0,2.0,664.29,475.5,0,0,0,0,0,1,0
1833,2017-10-09,10,45.0,3.0,135.0,885.0,1.32,10.0,8.0,0.0,415.71,315.83,0,0,0,0,0,1,0
1834,2017-10-09,10,120.0,4.0,480.0,885.0,1.32,10.0,8.0,0.0,415.71,315.83,0,0,0,0,0,0,1
1835,2017-10-09,16,40.0,2.0,80.0,980.0,1.26,8.0,8.0,2.0,511.43,404.5,0,0,0,1,0,0,0
1836,2017-10-09,17,90.0,2.0,180.0,480.0,1.77,7.0,9.0,2.0,320.71,181.0,0,0,0,0,1,0,0
1837,2017-10-09,17,40.0,3.0,120.0,480.0,1.77,7.0,9.0,2.0,320.71,181.0,0,0,0,0,0,1,0
1838,2017-10-09,10,90.0,3.0,270.0,885.0,1.32,10.0,8.0,2.0,415.71,315.83,0,0,0,0,1,0,0
1839,2017-10-09,16,100.0,7.0,700.0,980.0,1.26,8.0,8.0,2.0,511.43,404.5,0,0,0,0,0,0,1
1840,2017-10-09,16,90.0,0.0,0.0,980.0,1.26,8.0,8.0,2.0,511.43,404.5,0,0,0,0,1,0,0
1841,2017-10-09,16,50.0,4.0,200.0,980.0,1.26,8.0,8.0,2.0,511.43,404.5,0,1,0,0,0,0,0
1842,2017-10-09,14,90.0,5.0,450.0,945.0,1.26,5.0,6.0,1.0,520.71,413.83,0,0,0,0,0,0,1
1843,2017-10-09,17,60.0,3.0,180.0,480.0,1.77,7.0,9.0,2.0,320.71,181.0,0,0,0,0,0,0,1
1844,2017-10-09,14,45.0,5.0,225.0,945.0,1.26,5.0,6.0,1.0,520.71,413.83,0,0,0,0,0,1,0
1845,2017-10-09,13,45.0,0.0,0.0,1185.0,1.26,7.0,6.0,1.0,648.57,514.5,0,0,0,1,0,0,0
1846,2017-10-09,14,90.0,3.0,270.0,945.0,1.26,5.0,6.0,1.0,520.71,413.83,0,0,0,0,1,0,0
1847,2017-10-09,13,90.0,4.0,360.0,1185.0,1.26,7.0,6.0,1.0,648.57,514.5,0,0,0,0,1,0,0
1848,2017-10-09,11,50.0,5.0,250.0,1690.0,1.38,8.0,9.0,2.0,815.57,592.67,0,0,0,0,0,1,0
1849,2017-10-09,13,100.0,6.0,600.0,1185.0,1.26,7.0,6.0,1.0,648.57,514.5,0,0,0,0,0,0,1
1850,2017-10-09,11,90.0,4.0,360.0,1690.0,1.38,8.0,9.0,2.0,815.57,592.67,0,0,0,0,1,0,0
1851,2017-10-09,11,120.0,7.0,840.0,1690.0,1.38,8.0,9.0,2.0,815.57,592.67,0,0,0,0,0,0,1
1852,2017-10-09,11,25.0,6.0,150.0,1690.0,1.38,8.0,9.0,2.0,815.57,592.67,0,1,0,0,0,0,0
1853,2017-10-09,12,60.0,4.0,240.0,870.0,0.95,8.0,8.0,2.0,222.86,233.67,0,0,0,0,0,1,0
1854,2017-10-09,12,90.0,3.0,270.0,870.0,0.95,8.0,8.0,1.0,222.86,233.67,0,0,0,0,1,0,0
1855,2017-10-09,12,90.0,4.0,360.0,870.0,0.95,8.0,8.0,2.0,222.86,233.67,0,0,0,0,0,0,1
1856,2017-10-09,13,45.0,5.0,225.0,1185.0,1.26,7.0,6.0,1.0,648.57,514.5,0,0,0,0,0,1,0
1857,2017-10-09,11,30.0,3.0,90.0,1690.0,1.38,8.0,9.0,2.0,815.57,592.67,0,0,0,1,0,0,0
1858,2017-10-10,10,30.0,3.0,90.0,510.0,1.27,7.0,8.0,2.0,422.14,332.83,0,0,0,0,1,0,0
1859,2017-10-10,8,70.0,3.0,210.0,1020.0,1.13,9.0,9.0,2.0,555.0,490.17,1,0,0,0,0,0,0
1860,2017-10-10,8,90.0,9.0,810.0,1020.0,1.13,7.0,10.0,2.0,555.0,490.17,0,0,0,0,1,0,0
1861,2017-10-10,7,75.0,4.0,300.0,900.0,1.33,7.0,9.0,2.0,673.57,506.5,1,0,0,0,0,0,0
1862,2017-10-10,7,75.0,8.0,600.0,900.0,1.33,7.0,9.0,0.0,673.57,506.5,0,1,0,0,0,0,0
1863,2017-10-10,6,60.0,3.0,180.0,810.0,1.27,8.0,8.0,2.0,637.14,502.5,1,0,0,0,0,0,0
1864,2017-10-10,6,90.0,7.0,630.0,810.0,1.27,8.0,8.0,2.0,637.14,502.5,0,0,0,0,1,0,0
1865,2017-10-10,10,30.0,8.0,240.0,510.0,1.27,9.0,9.0,2.0,422.14,332.83,0,1,0,0,0,0,0
1866,2017-10-10,4,60.0,4.0,240.0,765.0,1.19,8.0,8.0,1.0,514.29,433.5,1,0,0,0,0,0,0
1867,2017-10-10,4,75.0,7.0,525.0,765.0,1.19,8.0,8.0,0.0,514.29,433.5,0,0,0,0,1,0,0
1868,2017-10-10,3,60.0,5.0,300.0,300.0,1.83,8.0,8.0,2.0,255.0,139.5,0,0,0,0,0,0,1
1869,2017-10-10,2,90.0,5.0,450.0,930.0,0.95,8.0,8.0,2.0,478.57,502.5,1,0,0,0,0,0,0
1870,2017-10-10,2,60.0,8.0,480.0,930.0,0.95,8.0,10.0,0.0,478.57,502.5,0,1,0,0,0,0,0
1871,2017-10-10,1,70.0,3.0,210.0,840.0,1.29,10.0,10.0,2.0,538.57,417.0,1,0,0,0,0,0,0
1872,2017-10-10,1,90.0,7.0,630.0,840.0,1.29,10.0,10.0,2.0,538.57,417.0,0,0,0,0,1,0,0
1873,2017-10-10,5,90.0,7.0,630.0,630.0,1.64,8.0,7.0,2.0,145.71,89.0,0,0,0,0,0,0,1
1874,2017-10-10,10,45.0,4.0,180.0,510.0,1.27,8.0,9.0,2.0,422.14,332.83,1,0,0,0,0,0,0
1875,2017-10-10,13,70.0,5.0,350.0,980.0,1.16,9.0,9.0,2.0,635.0,547.17,1,0,0,0,0,0,0
1876,2017-10-10,11,35.0,5.0,175.0,735.0,1.32,8.0,10.0,2.0,817.14,617.17,0,1,0,0,0,0,0
1877,2017-10-10,11,35.0,4.0,140.0,735.0,1.32,8.0,10.0,2.0,817.14,617.17,0,0,0,0,1,0,0
1878,2017-10-10,16,30.0,2.0,60.0,330.0,1.14,8.0,8.0,2.0,472.14,415.5,0,0,0,1,0,0,0
1879,2017-10-10,16,15.0,0.0,0.0,330.0,1.14,8.0,8.0,2.0,472.14,415.5,1,0,0,0,0,0,0
1880,2017-10-10,16,45.0,4.0,180.0,330.0,1.14,8.0,8.0,0.0,472.14,415.5,0,0,0,0,0,0,1
1881,2017-10-10,16,90.0,1.0,90.0,330.0,1.14,8.0,8.0,2.0,472.14,415.5,0,0,0,0,1,0,0
1882,2017-10-10,15,50.0,4.0,200.0,680.0,0.7,8.0,8.0,2.0,108.57,154.33,1,0,0,0,0,0,0
1883,2017-10-10,15,60.0,8.0,480.0,680.0,0.7,8.0,8.0,2.0,108.57,154.33,0,1,0,0,0,0,0
1885,2017-10-10,14,60.0,7.0,420.0,600.0,1.17,7.0,8.0,2.0,507.86,433.83,0,1,0,0,0,0,0
1886,2017-10-10,13,30.0,3.0,90.0,980.0,1.16,9.0,9.0,2.0,635.0,547.17,0,0,0,0,1,0,0
1887,2017-10-10,13,60.0,9.0,540.0,980.0,1.16,9.0,9.0,2.0,635.0,547.17,0,1,0,0,0,0,0
1888,2017-10-10,12,60.0,3.0,180.0,420.0,0.93,8.0,8.0,2.0,231.43,247.67,1,0,0,0,0,0,0
1889,2017-10-10,12,60.0,4.0,240.0,420.0,0.93,8.0,8.0,2.0,231.43,247.67,0,1,0,0,0,0,0
1890,2017-10-10,11,60.0,2.0,120.0,735.0,1.32,8.0,10.0,2.0,817.14,617.17,0,0,0,1,0,0,0
1891,2017-10-10,11,75.0,4.0,300.0,735.0,1.32,8.0,10.0,2.0,817.14,617.17,1,0,0,0,0,0,0
1892,2017-10-10,14,60.0,3.0,180.0,600.0,1.17,7.0,8.0,0.0,507.86,433.83,1,0,0,0,0,0,0
1893,2017-10-11,9,30.0,3.0,90.0,990.0,1.02,9.0,9.0,2.0,447.86,438.67,0,0,0,0,0,1,0
1894,2017-10-11,8,60.0,3.0,180.0,220.0,1.17,9.0,8.0,2.0,577.86,493.0,0,0,0,0,0,0,1
1895,2017-10-11,8,40.0,1.0,40.0,220.0,1.17,8.0,9.0,2.0,577.86,493.0,0,0,0,1,0,0,0
1896,2017-10-11,7,45.0,5.0,225.0,285.0,1.32,8.0,9.0,1.0,673.57,512.0,0,0,0,0,0,0,1
1897,2017-10-11,7,30.0,2.0,60.0,285.0,1.32,8.0,7.0,2.0,673.57,512.0,0,0,0,1,0,0,0
1898,2017-10-11,2,20.0,0.0,0.0,300.0,0.93,9.0,7.0,2.0,465.71,499.5,0,0,0,1,0,0,0
1899,2017-10-11,4,45.0,1.0,45.0,180.0,1.17,8.0,10.0,2.0,514.29,439.5,0,0,0,1,0,0,0
1900,2017-10-11,3,30.0,5.0,150.0,150.0,1.66,8.0,8.0,2.0,233.57,140.5,0,1,0,0,0,0,0
1901,2017-10-11,2,60.0,5.0,300.0,300.0,0.93,7.0,10.0,2.0,465.71,499.5,0,0,0,0,0,0,1
1902,2017-10-11,1,45.0,3.0,135.0,215.0,1.35,8.0,8.0,1.0,569.29,421.17,0,0,0,0,0,0,1
1903,2017-10-11,1,40.0,2.0,80.0,215.0,1.35,8.0,5.0,2.0,569.29,421.17,0,0,0,1,0,0,0
1904,2017-10-11,9,60.0,3.0,180.0,990.0,1.02,9.0,9.0,2.0,447.86,438.67,0,0,0,0,1,0,0
1905,2017-10-11,4,45.0,3.0,135.0,180.0,1.17,8.0,8.0,2.0,514.29,439.5,0,0,0,0,0,0,1
1906,2017-10-11,9,45.0,4.0,180.0,990.0,1.02,9.0,9.0,2.0,447.86,438.67,0,1,0,0,0,0,0
1907,2017-10-11,9,90.0,5.0,450.0,990.0,1.02,9.0,9.0,2.0,447.86,438.67,0,0,0,0,0,0,1
1908,2017-10-11,10,30.0,3.0,90.0,180.0,1.26,8.0,9.0,2.0,426.43,338.83,0,0,0,1,0,0,0
1909,2017-10-11,9,30.0,3.0,90.0,990.0,1.02,9.0,9.0,2.0,447.86,438.67,0,0,0,0,1,0,0
1910,2017-10-11,17,40.0,0.0,0.0,0.0,1.31,8.0,6.0,2.0,237.86,181.0,0,0,0,1,0,0,0
1911,2017-10-11,16,70.0,4.0,280.0,400.0,1.22,7.0,9.0,2.0,499.29,410.83,0,0,0,0,0,0,1
1912,2017-10-11,14,30.0,3.0,90.0,120.0,1.16,8.0,6.0,2.0,507.86,437.83,0,0,0,0,0,0,1
1913,2017-10-11,14,30.0,1.0,30.0,120.0,1.16,8.0,9.0,2.0,507.86,437.83,0,0,0,1,0,0,0
1914,2017-10-11,13,30.0,0.0,0.0,150.0,1.18,9.0,7.0,2.0,637.14,540.17,0,0,0,1,0,0,0
1915,2017-10-11,16,60.0,2.0,120.0,400.0,1.22,10.0,8.0,2.0,499.29,410.83,0,0,0,1,0,0,0
1916,2017-10-11,13,30.0,0.0,0.0,150.0,1.18,10.0,7.0,2.0,637.14,540.17,0,0,0,1,0,0,0
1917,2017-10-11,12,45.0,4.0,180.0,270.0,1.05,7.0,7.0,2.0,270.0,256.67,0,0,0,0,0,0,1
1918,2017-10-11,12,30.0,3.0,90.0,270.0,1.05,7.0,7.0,2.0,270.0,256.67,0,0,0,1,0,0,0
1919,2017-10-11,11,60.0,5.0,300.0,600.0,1.26,8.0,7.0,2.0,805.71,637.17,0,0,0,0,0,0,1
1920,2017-10-11,11,60.0,5.0,300.0,600.0,1.26,8.0,6.0,2.0,805.71,637.17,0,0,0,0,0,1,0
1921,2017-10-11,10,30.0,3.0,90.0,180.0,1.26,8.0,9.0,2.0,426.43,338.83,0,0,0,0,0,0,1
1922,2017-10-11,13,50.0,3.0,150.0,150.0,1.18,8.0,7.0,2.0,637.14,540.17,0,0,0,0,0,0,1
1923,2017-10-12,7,45.0,3.0,135.0,960.0,1.26,7.0,6.0,2.0,680.0,541.0,0,0,0,0,0,1,0
1924,2017-10-12,10,45.0,3.0,135.0,735.0,1.21,8.0,8.0,2.0,441.43,363.33,0,0,0,0,0,1,0
1925,2017-10-12,9,30.0,1.0,30.0,70.0,0.96,9.0,9.0,2.0,400.0,418.0,0,0,0,0,1,0,0
1926,2017-10-12,9,40.0,1.0,40.0,70.0,0.96,9.0,9.0,2.0,400.0,418.0,0,1,0,0,0,0,0
1927,2017-10-12,8,30.0,3.0,90.0,270.0,1.05,2.0,0.0,2.0,519.29,496.0,0,0,0,0,1,0,0
1928,2017-10-12,8,60.0,3.0,180.0,270.0,1.05,2.0,0.0,2.0,519.29,496.0,0,0,0,0,0,1,0
1929,2017-10-12,7,75.0,7.0,525.0,960.0,1.26,7.0,6.0,2.0,680.0,541.0,0,0,0,0,0,0,1
1930,2017-10-12,7,75.0,4.0,300.0,960.0,1.26,7.0,6.0,2.0,680.0,541.0,0,0,0,0,1,0,0
1931,2017-10-12,6,70.0,5.0,350.0,890.0,1.2,8.0,6.0,1.0,634.29,530.17,0,0,0,0,0,0,1
1932,2017-10-12,3,60.0,5.0,300.0,300.0,1.79,8.0,8.0,2.0,255.0,142.5,0,0,0,0,0,0,1
1933,2017-10-12,6,45.0,4.0,180.0,890.0,1.2,8.0,6.0,2.0,634.29,530.17,0,0,0,0,0,1,0
1934,2017-10-12,4,60.0,4.0,240.0,645.0,1.09,8.0,8.0,2.0,501.43,461.0,0,0,0,0,0,0,1
1935,2017-10-12,4,90.0,3.0,270.0,645.0,1.09,8.0,8.0,2.0,501.43,461.0,0,0,0,0,1,0,0
1936,2017-10-12,10,90.0,4.0,360.0,735.0,1.21,8.0,8.0,1.0,441.43,363.33,0,0,0,0,1,0,0
1937,2017-10-12,4,45.0,3.0,135.0,645.0,1.09,8.0,8.0,1.0,501.43,461.0,0,0,0,0,0,1,0
1938,2017-10-12,1,60.0,4.0,240.0,690.0,1.28,8.0,8.0,2.0,565.0,440.17,0,0,0,0,0,0,1
1939,2017-10-12,1,90.0,3.0,270.0,690.0,1.28,9.0,9.0,2.0,565.0,440.17,0,0,0,0,1,0,0
1940,2017-10-12,1,60.0,3.0,180.0,690.0,1.28,10.0,7.0,2.0,565.0,440.17,0,0,0,0,0,1,0
1941,2017-10-12,6,90.0,4.0,360.0,890.0,1.2,8.0,6.0,2.0,634.29,530.17,0,0,0,0,1,0,0
1942,2017-10-12,10,60.0,4.0,240.0,735.0,1.21,8.0,8.0,2.0,441.43,363.33,0,0,0,0,0,0,1
1943,2017-10-12,16,90.0,0.0,0.0,1000.0,1.17,8.0,8.0,1.0,518.57,444.17,0,0,0,0,1,0,0
1944,2017-10-12,11,120.0,6.0,720.0,970.0,1.15,5.0,6.0,2.0,746.43,646.5,0,0,0,0,0,0,1
1945,2017-10-12,11,75.0,3.0,225.0,970.0,1.15,5.0,6.0,2.0,746.43,646.5,0,0,0,0,1,0,0
1946,2017-10-12,17,90.0,3.0,270.0,550.0,1.17,6.0,7.0,2.0,232.86,199.33,0,0,0,0,1,0,0
1947,2017-10-12,17,50.0,2.0,100.0,550.0,1.17,6.0,7.0,1.0,232.86,199.33,0,0,0,0,0,1,0
1948,2017-10-12,16,120.0,1.0,120.0,1000.0,1.17,8.0,8.0,1.0,518.57,444.17,0,0,0,1,0,0,0
1949,2017-10-12,16,80.0,6.0,480.0,1000.0,1.17,8.0,8.0,1.0,518.57,444.17,0,0,0,0,0,0,1
1950,2017-10-12,16,50.0,8.0,400.0,1000.0,1.17,8.0,8.0,1.0,518.57,444.17,0,1,0,0,0,0,0
1951,2017-10-12,15,50.0,4.0,200.0,650.0,1.08,8.0,8.0,2.0,190.0,176.0,0,0,0,0,0,0,1
1952,2017-10-12,15,90.0,3.0,270.0,650.0,1.08,8.0,8.0,2.0,190.0,176.0,0,0,0,0,1,0,0
